"","Accession","Gene Symbol","Coverage [%]","# Peptides","# PSMs","# AAs","MW [kDa]","Pfam IDs","Entrez Gene ID","Ensembl Gene ID","WT1","WT2","WT3","KD1","KD2","KD3","TM1","TM2","TM3","C11","C12","C13","NT1","NT2","NT3","KD_FC","KD_logP","TM_FC","TM_logP","C1_FC","C1_logP","NT_FC","NT_logP","Rest_FC","Rest_logP","# Protein Pathway Groups","Biological Process","Cellular Component","Molecular Function","Gene ID","Reactome Pathways","WikiPathways","Uniprotlink","ffatscore","ffatscore2"
"1","Q53EP0","FNDC3B",10,9,34,1204,132.8,"Pf00041","64778","ENSG00000075420",3337602.5223109,2257132.91506916,2398927.0895617,5529890.66090922,3392493.59981205,4717519.8495038,5241473.18623354,5127547.41748129,2442273.484375,NA,NA,93753.6994761765,233064.888524109,NA,NA,-0.770904930050925,1.24603167169286,-0.680487639768182,0.756822126732015,4.82887473633356,NA,3.5150905838436,NA,-0.32908304545759,0.205962640376068,0,NA,"other membranes",NA,"B2RB36; B3KXR8; D3DNQ7; hsa:64778; Q53EP0; Q5U5T8; Q6PIJ3; Q6UXG1; Q6UXZ5; Q8IXB2; Q8NBU7; Q96D78; Q9H5I7; Q9NSQ8",NA,NA,"https://rest.uniprot.org/uniprotkb/Q53EP0.fasta",3,3
"2","Q9BZ71","PITPNM3",5,4,8,974,106.7,"Pf02862","83394","ENSG00000091622",1388862.88318759,1381091.24784004,1875854.68695283,554816.184114621,94392.7107182158,489322.974668771,253437.53078385,197639.328978215,335216.796875,NA,62140.7324591318,NA,NA,NA,NA,2.02875511069631,2.23500223986235,2.56278966558069,2.80171291652253,4.63928422859815,NA,NA,NA,2.44775483377174,4.54872189402445,2,"cell organization and biogenesis;other metabolic processes;transport","other membranes;cytosol;other cell component","signal transduction activity or receptor binding;transporter activity;other molecular function","A1A5D0; F8WEW5; hsa:83394; Q59GH9; Q9BZ71; Q9NPQ4","Synthesis of PI","CCL18 signaling pathway","https://rest.uniprot.org/uniprotkb/Q9BZ71.fasta",0,0
"3","Q9NR80","ARHGEF4",9,5,20,690,79,"Pf00018, Pf00169, Pf00621","50649","ENSG00000136002",2814849.23645023,1462838.07595525,2183322.41406668,1098905.01977579,1099464.81178122,1100400.76802527,598274.691890753,200391.942787064,514049.084960938,183974.848564406,NA,NA,NA,NA,794192.13614233,0.969831192223403,1.26630754479841,2.29920512538462,1.86230262975102,3.54921669396882,NA,1.43923716526764,NA,1.6240383429255,2.88960251699859,7,"cell organization and biogenesis;signal transduction;other biological processes","plasma membrane;other membranes;cytosol","enzyme regulator activity;other molecular function","hsa:50649; Q9HDC6; Q9NR80; Q9UPP0","RHOA GTPase cycle; CDC42 GTPase cycle; RAC1 GTPase cycle; NRAGE signals death through JNK; G alpha (12/13) signalling events","Regulation of actin cytoskeleton; 2q21.1 copy number variation syndrome","https://rest.uniprot.org/uniprotkb/Q9NR80.fasta",4,4
"4","O75427","LRCH4",4,2,6,683,73.4,"Pf00307, Pf13855","4034","ENSG00000077454",489142.835560485,818250.901736776,407184.307155934,181367.597615345,217899.04261232,273885.581182515,492710.497491309,419566.616441699,874024.78125,NA,NA,NA,NA,NA,NA,1.34884888792353,1.26790227049954,-0.0591223501301721,0.0431986343740532,NA,NA,NA,NA,0.479515434111986,0.415342963632482,0,"cell organization and biogenesis;developmental processes;other biological processes","plasma membrane;other membranes;nucleus",NA,"A4D2D5; hsa:4034; O75427; Q8WV85; Q96ID0",NA,NA,"https://rest.uniprot.org/uniprotkb/O75427.fasta",3.5,3.5
"5","Q96HY6","DDRGK1",10,2,10,314,35.6,"Pf09756","65992","ENSG00000198171",1340147.2864006,1021357.17131921,531811.528885622,1084596.13516115,0,1265056.8412083,933902.348208292,652347.356781811,2147336.25,NA,NA,NA,NA,NA,NA,0.300276193554385,0.146581317029075,-0.367838052922026,0.210637284502915,NA,NA,NA,NA,-0.0721157776818386,0.03818944693558,1,"cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;developmental processes;other biological processes","other membranes;ER/Golgi;nucleus;other cell component","other molecular function","A6NIU5; C9JSZ5; hsa:65992; Q96HY6; Q9BW47","RHOA GTPase cycle",NA,"https://rest.uniprot.org/uniprotkb/Q96HY6.fasta",5.5,4
"6","Q8IV08","PLD3",4,2,7,490,54.7,"Pf13918","23646","ENSG00000105223",186789.200647405,NA,NA,NA,NA,NA,1304142.98528573,1117150.1329701,1840934,NA,NA,NA,NA,NA,2105401.14872475,NA,NA,-2.92716201819402,NA,NA,NA,-3.49461218860559,NA,-3.09127316375423,NA,2,"DNA metabolism;stress response;other biological processes","other membranes;ER/Golgi;other cytoplasmic organelle","other molecular function","hsa:23646; Q8IV08; Q92853; Q9BW87","Role of phospholipids in phagocytosis; Synthesis of PG",NA,"https://rest.uniprot.org/uniprotkb/Q8IV08.fasta",4.5,4
"7","Q9HCE0","EPG5",2,4,7,2579,292.3,NA,"57724","ENSG00000152223",157735.214048923,139110.316508665,81165.735145162,369768.47106101,241044.182321516,104028.220778892,1244027.63693967,955136.804745576,802467.265625,71386.1334885913,NA,NA,NA,NA,NA,-0.919192898062835,0.631346866795986,-2.98924583654796,2.57592119776421,0.81975096234753,NA,NA,NA,-2.10248896254189,0.771485002045891,0,"cell organization and biogenesis;other metabolic processes;transport;signal transduction;other biological processes","other cytoplasmic organelle;other cell component",NA,"A2BDF3; hsa:57724; Q9H8C8; Q9HCE0",NA,NA,"https://rest.uniprot.org/uniprotkb/Q9HCE0.fasta",3.5,3.5
"8","Q9BQE5",NA,10,3,7,337,37.1,NA,NA,NA,175334.113333703,NA,NA,158407.668928897,113394.605525484,77186.1576964959,2882615.77687011,2479678.45704406,15669105,NA,NA,NA,NA,NA,NA,0.591890001073214,NA,-5.3213318089829,NA,NA,NA,NA,NA,-4.34507498422662,NA,0,NA,NA,NA,NA,NA,NA,"https://rest.uniprot.org/uniprotkb/Q9BQE5.fasta",4.5,4
"9","Q9Y679","AUP1",11,4,7,410,45.8,"Pf02845","550","ENSG00000115307",304304.20966744,NA,108352.14260291,320204.376738422,139078.398177812,802790.660026609,2278097.64864618,1538114.36253177,7997356,NA,NA,NA,NA,NA,NA,-1.02782060268277,0.319502660996112,-4.2543976029788,0.598890565460993,NA,NA,NA,NA,-3.40083456210324,0.391897416969877,0,"cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;transport;other biological processes","other membranes;ER/Golgi;other cytoplasmic organelle;other cell component","other molecular function","C0H5W8; hsa:550; Q9H866; Q9UNQ6; Q9Y679; Q9Y685",NA,NA,"https://rest.uniprot.org/uniprotkb/Q9Y679.fasta",6,4
"10","Q96J84","KIRREL1",4,2,4,757,83.5,"Pf07679, Pf08205, Pf13927","55243","ENSG00000183853",89358.0565938145,86688.124985625,60423.5558953468,NA,NA,NA,599355.381050129,332601.630256665,419039.796875,NA,NA,NA,NA,NA,NA,NA,NA,-2.51429679650845,2.02969638821866,NA,NA,NA,NA,-2.51429679650845,2.02969638821866,3,"cell adhesion;cell organization and biogenesis;other biological processes","plasma membrane;other membranes;other cell component","cytoskeletal activity;other molecular function","hsa:55243; Q5W0F8; Q5XKC6; Q7Z696; Q7Z7N8; Q8TB15; Q96J84; Q9H9N1; Q9NVA5","Nephrin family interactions","Genes controlling nephrogenesis; 1q21.1 copy number variation syndrome","https://rest.uniprot.org/uniprotkb/Q96J84.fasta",5,4
